keV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1.60,1.409210,13.314466,54.065592,147.056145,309.958382,579.172458,899.272275,1292.256143,1658.451442,2244.433392,2702.823512,3398.006869,3735.948522,447.765811,547.824853,698.583615,819.073451,926.830390,1191.061719,1440.769669,1563.556052,1766.556327,1975.374329,2274.759291,2521.598415,2877.619264,3132.618055,3593.192917,3755.158884,4109.731922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1036.158889,1145.452468,1270.076497,1388.474167,0.000000,0.000000,0.000000,0.000000,2069.670861,2200.549707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3868.444334
1.62,1.351372,12.793879,51.985362,141.565572,298.661575,558.521881,867.971036,1248.267644,1603.303025,2171.604579,2617.493344,3292.667244,3632.947507,432.949809,529.725024,675.566879,792.164708,896.456445,1152.211820,1394.034681,1513.109943,1709.829326,1912.320355,2202.518169,2441.975210,2787.322667,3035.100112,3482.100284,3640.275319,3985.700031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1005.203382,1111.223286,1232.107170,1347.064127,0.000000,0.000000,0.000000,0.000000,2008.461819,2135.624945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3759.073585
1.64,1.296574,12.299665,50.009242,136.343641,287.907622,538.847605,838.123566,1206.289025,1550.631773,2101.989582,2535.855099,3191.826286,3533.998367,418.796924,512.434411,653.577113,766.454079,867.432493,1115.082759,1349.361522,1464.880778,1655.586823,1852.016119,2133.415916,2365.797458,2700.915864,2941.759194,3375.742967,3530.252109,3866.865172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,975.535670,1078.418339,1195.718172,1307.374728,0.000000,0.000000,0.000000,0.000000,1949.781076,2073.377477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3654.080705
1.66,1.244623,11.830189,48.130845,131.374170,277.664286,520.092397,809.645830,1166.205597,1500.298210,2035.409941,2457.706895,3095.240472,3438.895167,405.269926,495.907618,632.556797,741.874567,839.683148,1079.578699,1306.635721,1418.745847,1603.691663,1794.310334,2067.280327,2292.876733,2618.186873,2852.368670,3273.865009,3424.828057,3752.950130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,947.087440,1046.962065,1160.825640,1269.314780,0.000000,0.000000,0.000000,0.000000,1893.495246,2013.666236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3553.240226
1.68,1.195338,11.383938,46.344246,126.642129,267.901602,502.203014,782.459586,1127.910485,1452.172264,1971.699093,2382.860139,3002.682177,3347.444750,392.334088,480.102300,612.452271,718.363667,813.138074,1045.610207,1265.750440,1374.590599,1554.015792,1739.061720,2003.950561,2223.037017,2538.937626,2766.716728,3176.227146,3323.758922,3643.695572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,919.794764,1016.783755,1127.351098,1232.798943,0.000000,0.000000,0.000000,0.000000,1839.479473,1956.359169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3456.340819
1.70,1.148554,10.959506,44.643946,122.133545,258.591688,485.129880,756.491917,1091.304016,1406.132530,1910.701448,2311.138507,2913.938465,3259.465800,379.956991,464.978927,593.213436,695.863016,787.731591,1013.093755,1226.605876,1332.308010,1506.439550,1686.138236,1943.276271,2156.113743,2462.982906,2684.605254,3082.605535,3226.816127,3538.858701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,893.597774,987.817188,1095.221055,1197.747294,0.000000,0.000000,0.000000,0.000000,1787.616789,1901.332558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3363.184250
1.72,1.104117,10.555589,43.024833,117.835422,249.708586,468.826796,731.674816,1056.293157,1362.065601,1852.271548,2242.377016,2828.809983,3174.787992,368.108346,450.500563,574.793479,674.318072,763.402315,981.951270,1189.108725,1291.798010,1460.851033,1635.416376,1885.116805,2091.952928,2390.149376,2605.848792,2992.790591,3133.785590,3438.212021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,868.440357,960.000301,1064.366629,1164.084916,0.000000,0.000000,0.000000,0.000000,1737.797534,1848.470403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3273.584430
1.74,1.061883,10.170972,41.482154,113.735656,241.228101,453.250671,707.944800,1022.790999,1319.865454,1796.273302,2176.421171,2747.109947,3093.251206,356.759835,436.632671,557.148623,653.677827,740.092832,952.109717,1153.171692,1252.966951,1417.145510,1586.780525,1829.340477,2030.410381,2320.274688,2530.273601,2906.585933,3044.466650,3341.542211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,844.269880,933.274879,1034.723215,1131.741538,0.000000,0.000000,0.000000,0.000000,1689.918817,1797.663863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3187.366537
1.76,1.021720,9.804528,40.011481,109.822968,233.127666,438.361286,685.242563,990.716290,1279.432893,1742.579282,2113.126192,2668.663218,3014.704805,345.884956,423.342932,540.237896,633.894538,717.749400,923.500720,1118.713035,1215.727133,1375.224881,1540.122373,1775.823902,1971.350976,2253.206672,2457.716796,2823.807404,2958.671079,3248.649091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,821.036940,907.586277,1006.230168,1100.651195,0.000000,0.000000,0.000000,0.000000,1643.884031,1748.810732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3104.366219
1.78,0.983505,9.455207,38.608694,106.086840,225.386216,424.121067,663.512659,959.993010,1240.675040,1691.070080,2052.356296,2593.305456,2939.006978,335.458891,410.601076,524.022925,614.923485,696.321677,896.060219,1085.656159,1179.996363,1334.997195,1495.340377,1724.451387,1914.647989,2188.802593,2388.025551,2744.282192,2876.222188,3159.344676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,798.695127,882.883165,978.830525,1070.751918,0.000000,0.000000,0.000000,0.000000,1599.602401,1701.814970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3024.428853
